id,name
931,jealousy
10090,board game
1495,fishing
818,based on novel
1009,baby
642,robbery
90,paris
949,terrorist
701,cuba
833,white house
3633,dracula
1994,wolf
840,usa president
911,exotic island
383,poker
420,bowling
612,hotel
409,africa
380,brother brother relationship
395,gambling
796,police brutality
271,competition
7345,dead animal
30,individual
497,shakespeare
1228,1970s
1316,captain
402,clone
964,servant
897,rap music
222,schizophrenia
3020,sheep
392,england
378,prison
13014,orphan
1525,puberty
3644,south africa
392,england
10594,money
931,jealousy
779,martial arts
596,adultery
1334,wedding vows
476,self-fulfilling prophecy
1463,culture clash
1992,professor
3703,law
549,prostitute
10183,independent film
6075,sport
567,alcohol
2672,baltimore
2041,island
1990,cupboard
570,rape
1233,composer
248,date
2041,island
4166,biotope
2157,hacker
128,love triangle
897,rap music
246,dancing
258,bomb
3616,college
90,paris
2778,florist
10624,bully
312,man vs machine
6381,loss of daughter
1417,jurors
1357,fish
494,father son relationship
236,suicide
6984,racial segregation
4034,class society
2082,sailing trip
5306,boss
169078,nitrous oxide
441,assassination
964,servant
3133,vampire
155808,hometown
720,helicopter
14531,play
90,paris
2398,narration
417,corruption
380,brother brother relationship
1157,wife husband relationship
936,loss of mother
455,farewell
530,prophecy
2041,island
156121,ex-con
30,individual
422,vietnam veteran
242,new york
6015,mining
12392,best friend
1755,fascism
212,london england
1253,roommate
380,brother brother relationship
1668,hawaii
2273,role of women
1595,ex-girlfriend
5498,lsd
334,flying
187056,woman director
10183,independent film
5202,boy
550,callgirl
242,new york
339,submarine
5565,biography
10180,homosexuality
531,southern usa
238179,skab under tv
237,gay
1262,mountain
9673,love
416,miami
478,china
6075,sport
392,england
10183,independent film
305,moon
388,scotland
242,new york
483,riddle
549,prostitute
5499,burma
919,smoking
3335,halloween
11505,drug pusher
690,gorilla
339,submarine
1353,underground
75,gunslinger
5823,jazz club
258,bomb
572,sex
3966,camelot
2526,human animal relationship
293,female nudity
237,gay
2588,brain
934,judge
6593,stripper
1525,puberty
1388,cinema
3419,fanatic
1252,suicide attempt
572,sex
10988,based on tv series
4129,widow
3713,chase
